"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",8.18182804225513,12.7764049530821,20.4558710169681,20.3684210922231,31.2774878762866,41.3558636207546,48.6809759789964,63.541234302572,72.7127524301748,85.2748414377859,92.0981313935423,107.892958672959,133.646889888536,149.318772801321,182.292760897405,181.21715019218,211.082124395299,218.839208320741,241.101556622683,239.909037256019,268.280853299916,292.421655363578,345.942859585684,316.160856579457,355.544073399762,381.893186776647,405.346394809495,402.588810057005,430.422085888533,429.696870575563,466.091266430841,507.707326521191,532.742063079863,511.12431674742,538.739843936337,542.342666061682,548.920735886912,568.523179405476,594.009865289219,599.235111232704
"2",13.5506785612528,27.8271812086607,43.8856556767962,64.4077127202382,97.6332959350994,125.886259406702,173.413383738078,194.964690851669,243.310559070014,256.659599446655,297.151489930869,309.651146017358,367.601327093273,414.682888526201,456.85275487004,460.609459399972,491.6173352834,513.153681668149,548.508204559287,540.780591414494,587.372936597027,601.563648000044,592.801416165121,642.840363605165,582.538536254586,577.511864268128,643.076782966881,668.659816877677,619.697553591298,613.161579579088,613.417029177307,541.681233625221,506.399973579782,524.566063897454,473.095502139272,527.350195248502,487.445087104092,470.298903042721,526.007929475424,451.565199984968
"3",27.1698811335843,52.7677102502277,94.8407878018037,141.941558437344,202.701856094911,261.253941125146,299.280360801792,347.07771929099,386.060209540737,457.587647050395,480.924997453323,571.877564267646,551.029912170334,564.628514448295,590.848159319921,639.58234307138,608.155665113323,592.860648432442,544.312240038289,601.894196237541,535.766532816291,516.514397248815,482.733118617516,446.130598233892,462.363061540845,326.392539521337,288.161418461108,281.24080918243,356.914707238223,338.634188562353,324.126254100439,236.077422240514,280.11352256185,308.729726798356,212.687587235752,108.678161534091,156.677113682666,69.653137482457,177.027116352645,96.2618536615323
"4",38.1794719232905,88.9745397959398,148.548910796551,220.553960171607,291.201482180564,357.239029840332,437.837214594913,494.856179499151,534.062402880695,560.558441674541,562.312842255061,568.713220811658,571.047137974071,591.047835821808,485.459053255191,499.025716276636,482.608850064244,513.109457442047,475.335241442527,362.480853946406,315.585096715161,257.629980696013,223.88783212255,259.82508949366,259.990202904914,188.718866412597,223.05137376739,136.688036256509,131.691516357599,122.834910719936,165.246803285829,68.274824152433,89.0630475398571,110.641974086944,54.7304100908265,128.978260096192,99.6481632106663,90.465946318924,115.539670979692,88.2803682594396
"5",54.6362357228903,126.283095176598,204.067617258378,308.898310244653,374.750822773394,462.027603069287,521.567972180303,602.070278630649,619.351233894543,645.281446757788,644.993213985163,633.525182912041,491.494361192365,489.896121688895,410.18682548426,366.587715546771,389.742302536854,210.354074806257,316.828012208897,168.09712523707,176.273663481975,123.94103103242,172.087252365195,121.093356472326,112.421462894162,90.270652275029,92.9346577384799,122.84548324414,100.009175957214,136.981671443291,37.3246214386717,33.187920359327,92.2355031347366,66.2522085050154,132.330771021911,103.877186892405,94.837462068397,99.7210768115847,79.9674560036906,10514.118205702
"6",73.6323275930651,169.793826841221,283.295657952543,378.211930935146,472.087495667961,560.192593249238,610.380029373234,587.542134915735,616.69074367737,526.632078408329,425.650827346221,469.70392251503,337.48087178316,274.470247968257,194.82381744984,169.596825730025,192.799603688439,137.56141769817,146.546237454397,128.036937587995,81.0818631145616,41.1436119018767,100.632489612481,42.5779546100246,91.0443355573857,78.5916023019338,106.930793326085,66.6558979495329,43.4136019707803,24.7699382369933,99.4328719206236,53.5685127032325,81.9564641090717,132.469452814021,120.995890930663,13.5280366397341,86.867520262621,89.7924456949728,107.702112753449,136.832352486674
"7",101.420533701855,212.364964152654,338.902439934701,472.383283639822,523.67601336016,608.419183353303,596.059864021765,554.70979226759,561.705631043467,461.7975675982,403.938954420619,292.789394656288,242.544302244925,189.210657750997,192.654996769335,182.041515704987,113.192105263173,119.483573195356,70.7931583090815,87.1212453781442,45.1569595373014,132.322258786538,92.2246028973447,34.2214748946695,92.07686597164,43.8547023363587,64.9031196005891,115.591150746381,5140.34676890494,44.0657627189085,113.713625797896,115.630961629021,69.7968202025388,15018.6926314069,100.522323740916,103.363684126332,127.420116982076,0,0,0
"8",117.365253294589,242.356230531844,375.642077581714,522.028874236972,603.17692503972,605.175071857841,544.476887980342,485.418107463327,397.821031042207,342.279014378417,316.27865509129,98.2303235093392,175.442284440446,86.0009718562424,83.0584872256621,110.989792923017,178.275085500893,119.500523691825,100.028774011841,51.4112611382474,81.0973572349794,83.2341830705093,88.4329041337856,86.3334852830952,70.2318062651587,114.736857216117,79.6893517567784,17732.0629507709,148.314945789813,17537.5312501146,5018.91467873089,75.8314688285652,143.626827962743,0,0,0,0,0,0,0
"9",145.432498296552,320.542859453525,469.681290562283,561.56496459834,608.009249352145,618.410441710929,501.738429745323,412.164124932056,361.732957332889,211.033083954236,238.479348288961,183.721584066496,106.510954149058,135.323279730631,104.777246586955,51.0686928375726,99.9694010744711,12513.3543557737,103.343185746848,90.0291376041261,102.15198436078,103.607344863237,63.7459019754405,99.5313064389152,73.6540465514156,127.21202039455,15009.9236473022,93.0134085609646,74.2365098919855,0,0,0,0,0,0,0,0,0,0,0
"10",171.047518622296,351.137796364781,546.047462995696,600.55894757547,631.345984135673,496.385320995787,369.994765117047,342.321625614607,212.515689067546,234.754214223502,163.472593326745,108.038768588412,33.0685541956237,155.381403769825,98.9275243925742,116.0310712508,92.704660713182,69.158315959686,34.40649923346,218.686319336518,9.15037470736041,111.094772315533,164.041726496891,103.121841926948,110.616676971806,144.103543075846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",197.568997095172,386.863653639193,518.282232194596,570.609955743874,524.876957420331,391.873319243364,339.918424732202,217.449246873328,95.078246274104,191.839931518913,86.2543137898784,146.009003285463,138.314666009564,95.2516321131379,107.334981893023,44.2043007725538,82.5575012621029,70.5927241049561,108.385055416079,95.3088124134034,82.446815955433,101.439758724415,138.056907517738,138.921923826099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",219.353728632838,433.000081856543,581.044048290857,614.375956324461,532.761901545392,379.315431393516,214.982255738773,207.092495899442,136.682105124358,25.7401581009534,101.858856958311,175.588472952665,60.6349902309092,84.0188735094139,91.1924886658226,67.6927970854091,110.417639864767,20021.9766437729,93.1433307091977,113.261651468157,10022.7960935033,167.691811293492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",268.587803336466,475.150553543787,580.949207775592,591.210678957336,480.803232461241,351.472777888103,238.601394974363,161.678491499288,98.6253216212845,89.6447638013668,48.8514255781845,165.218670116079,62.3894201307609,19.259515476718,70.6922174270471,125.034311160555,84.2404702436532,113.730750410596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",296.090408657349,508.519506899964,621.323049476692,495.888266701353,392.473730458331,201.845682733185,192.209911356457,134.695671877002,40.2012957561491,78.538035910398,7518.93987081891,74.2872206496589,12537.3616329908,82.1475189009209,10028.3702404768,50.0900459165558,98.5014715741898,123.904617290714,68.379725440916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",311.478282640811,505.112452756054,592.748710299899,444.641017542552,439.174777141174,223.231966537749,145.260239527675,160.866061397128,15018.253113523,116.098452318328,85.3314783346287,123.582881509082,57.6368326764289,88.3923170640025,99.6006938040173,89.5747031611627,154.235371171661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
